scenario,time_s,node_count,tx_per_node_per_min,rmse_m
few_moving,134,10,120,20.451691271568787
few_moving,135,10,120,20.35672251904243
few_moving,136,10,150,20.27649982253511
few_moving,137,10,114,20.19958048264381
few_moving,138,10,96,20.12647448469931
few_moving,139,10,84,20.051040248801865
few_moving,140,10,78,19.982580594963164
few_moving,141,10,72,19.921130384371708
few_moving,142,10,66,19.84996305684873
few_moving,143,10,54,19.783032273231573
few_moving,144,10,60,19.718878724086345
few_moving,145,10,54,19.63585165780953
few_moving,146,10,84,23.990817517561766
few_moving,147,10,72,23.94347483976358
few_moving,148,10,84,27.731793326388477
few_moving,149,10,96,27.689187252256936
few_moving,150,10,84,27.650494152913968
few_moving,151,10,102,27.610193168040276
few_moving,152,10,72,27.57592164067995
few_moving,153,10,72,27.55110710711112
few_moving,154,10,72,27.518760555262734
few_moving,155,10,78,27.480273153819898
few_moving,156,10,84,27.44521178676978
few_moving,157,10,60,27.417918952834754
few_moving,158,10,60,27.387534573368054
few_moving,159,10,36,27.35962899146082
few_moving,160,10,24,27.330321232314805
few_moving,161,10,48,27.31483581177874
few_moving,162,10,30,27.301931449739516
few_moving,163,10,36,27.28754529308827
few_moving,164,10,36,27.270704524571435
few_moving,165,10,24,27.25682242418236
few_moving,166,10,60,27.247456267649948
few_moving,167,10,36,27.238182593771715
few_moving,168,10,36,27.226987141067454
few_moving,169,10,36,27.224379790481724
few_moving,170,10,42,27.2193054249523
few_moving,171,10,48,27.210300717131354
few_moving,172,10,24,27.21194131140718
few_moving,173,10,36,27.196788823106758
few_moving,174,10,30,27.1904920509085
few_moving,175,10,24,27.184019471396166
few_moving,176,10,48,27.17907989577446
few_moving,177,10,18,27.1750267155514
few_moving,178,10,30,27.1740521411898
few_moving,179,10,36,27.174152780869555
few_moving,180,10,24,27.175698904283255
few_moving,181,10,42,27.168926488310085
few_moving,182,10,12,27.16382048767659
few_moving,183,10,12,27.15993560886727
few_moving,184,10,18,27.158334946227935
few_moving,185,10,66,26.956822502734088
few_moving,186,10,72,26.951841563228605
few_moving,187,10,48,26.948030112496173
few_moving,188,10,54,26.94542343810082
few_moving,189,10,48,26.94359038760754
few_moving,190,10,30,26.942314970281274
few_moving,191,10,24,26.941393912772046
few_moving,192,10,0,26.940722675670617
few_moving,193,10,6,26.94022845150581
few_moving,194,10,12,26.939885567368403
few_moving,195,10,24,26.938478431776268
few_moving,196,10,60,26.937482848344047
few_moving,197,10,36,26.93685737870157
few_moving,198,10,30,26.9364709029043
few_moving,199,10,24,26.936281408362344
few_moving,200,10,42,26.936100337087467
few_moving,201,10,30,26.936049419311903
few_moving,202,10,0,26.936031395561642
few_moving,203,10,12,26.93598360756362
few_moving,204,10,18,26.935946539210423
few_moving,205,10,12,26.935725942055544
few_moving,206,10,24,26.935607950751866
few_moving,207,10,0,26.935550975806283
few_moving,208,10,6,26.935529336625688
few_moving,209,10,0,26.935527343875982
few_moving,210,10,0,26.935535551777157
few_moving,211,10,36,26.935548390518484
few_moving,0,20,0,19.971998579307627
few_moving,1,20,282,22.943867868088187
few_moving,2,20,408,22.744700853292226
few_moving,3,20,408,22.55376851170781
few_moving,4,20,414,22.359299329133453
few_moving,5,20,420,22.174639424638958
few_moving,6,20,408,21.996608323769
few_moving,7,20,360,21.823119971815494
few_moving,8,20,69,21.64817122159153
few_moving,9,20,0,21.48190321866604
few_moving,10,20,0,21.325915770580387
few_moving,11,20,0,21.18045487679207
few_moving,12,20,0,21.044655929655036
few_moving,13,20,0,20.9157225166283
few_moving,14,20,0,20.794494691588067
few_moving,15,20,0,20.67993843314475
few_moving,16,20,0,20.57500770452344
few_moving,17,20,0,20.483283922991955
few_moving,18,20,0,20.402077102059373
few_moving,19,20,0,20.329187990829418
few_moving,20,20,6,20.263688661206594
few_moving,21,20,24,20.20583470026533
few_moving,22,20,87,20.087788120539145
few_moving,23,20,3,19.973581936906804
few_moving,24,20,0,19.877316582075682
few_moving,25,20,0,19.79505888766142
few_moving,26,20,0,19.728345566810898
few_moving,27,20,0,19.675365783541917
few_moving,28,20,18,19.638898613927207
few_moving,29,20,108,19.559548708230103
few_moving,30,20,122.99999999999999,19.477518614398722
few_moving,31,20,141,19.39734033416513
few_moving,32,20,114,19.328488972511558
few_moving,33,20,117,19.261897499992546
few_moving,34,20,120,19.204431440317727
few_moving,35,20,105,19.146316827588734
few_moving,36,20,30,19.092808703442778
few_moving,37,20,75,19.002666203412495
few_moving,38,20,6,18.90728935893614
few_moving,39,20,0,18.83204031576755
few_moving,40,20,0,18.772525889077276
few_moving,41,20,6,18.725358317399934
few_moving,42,20,0,18.687911289252032
few_moving,43,20,45,18.647111933966144
few_moving,44,20,66,18.599038246059628
few_moving,45,20,78,18.55866717806832
few_moving,46,20,78,18.511189946727796
few_moving,47,20,78,18.464190526647965
few_moving,48,20,78,18.420598202334112
few_moving,49,20,81,18.377763460398576
few_moving,50,20,66,18.316502849372412
few_moving,51,20,27,18.259309110892314
few_moving,52,20,57,18.188618247909556
few_moving,53,20,3,18.124460925901033
few_moving,54,20,0,18.07356086613549
few_moving,55,20,0,18.03311613720164
few_moving,56,20,24,17.996755326984953
few_moving,57,20,78,17.958778232302425
few_moving,58,20,96,17.926512169786175
few_moving,59,20,108,17.89360032582166
few_moving,60,20,99,17.862072010118528
few_moving,61,20,117,17.83636233971938
few_moving,62,20,102,17.81819453822649
few_moving,63,20,96,17.7984929858449
few_moving,64,20,66,17.75012209697278
few_moving,65,20,60,17.68868458763584
few_moving,66,20,21,17.632264788711577
few_moving,67,20,42,17.573266852964984
few_moving,68,20,3,17.52547194157447
few_moving,69,20,0,17.487516145683408
few_moving,70,20,0,17.457331985513587
few_moving,71,20,21,17.421664512380637
few_moving,72,20,21,17.39015327382135
few_moving,73,20,21,17.36211378769767
few_moving,74,20,45,17.32728237656311
few_moving,75,20,48,17.28522407733157
few_moving,76,20,54,17.241656892197728
few_moving,77,20,48,17.208855333069707
few_moving,78,20,48,17.16775757671517
few_moving,79,20,39,17.12859873483275
few_moving,80,20,51,17.078953710281997
few_moving,81,20,15,17.033116235520605
few_moving,82,20,42,16.98488708127086
few_moving,83,20,3,16.944431531898264
few_moving,84,20,9,16.91076355336002
few_moving,85,20,60,16.87836021732621
few_moving,86,20,60,16.85617759892704
few_moving,87,20,57,16.84014540982718
few_moving,88,20,75,16.818610512640454
few_moving,89,20,105,16.802448081623368
few_moving,90,20,102,16.786992475803025
few_moving,91,20,90,16.774121788280933
few_moving,92,20,51,16.758232958430813
few_moving,93,20,60,16.734620981392077
few_moving,94,20,57,16.714394885799816
few_moving,95,20,60,16.666758736360816
few_moving,96,20,12,16.61899166157348
few_moving,97,20,30,16.570695041402796
few_moving,98,20,3,16.531829325690715
few_moving,99,20,21,16.500809396137534
few_moving,100,20,48,16.473944788547495
few_moving,101,20,69,16.44440429576982
few_moving,102,20,72,16.413217728634855
few_moving,103,20,72,16.38075210186111
few_moving,104,20,75,16.348135369626984
few_moving,105,20,75,16.32491950087827
few_moving,106,20,60,16.301056842140675
few_moving,107,20,24,16.280243015693124
few_moving,108,20,21,16.258819280749364
few_moving,109,20,24,16.239772081946686
few_moving,110,20,24,16.215123169358407
few_moving,111,20,12,16.195487461243452
few_moving,112,20,63,16.17121036781754
few_moving,113,20,33,16.14958815529731
few_moving,114,20,30,16.132472278796673
few_moving,115,20,36,16.11944437351952
few_moving,116,20,96,16.107692873564993
few_moving,117,20,90,16.084498334061923
few_moving,118,20,99,16.06247568709171
few_moving,119,20,93,16.040202251782667
few_moving,120,20,84,16.005942134589308
few_moving,121,20,150,15.940636240240762
few_moving,122,20,177,15.878867742843273
few_moving,123,20,162,15.82009134956339
few_moving,124,20,171,15.764720158928238
few_moving,125,20,162,15.707831885773583
few_moving,126,20,135,15.656624936843436
few_moving,127,20,141,15.60904182207977
few_moving,128,20,99,15.570068919229858
few_moving,129,20,96,15.53764525199203
few_moving,130,20,93,15.508433077465746
few_moving,131,20,135,15.478961065709173
few_moving,132,20,162,15.452884091464083
